Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://biosolution.co.id/sitemap.xml,,-,-,n/a,0,0,0.0,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,2,-,
https://biosolution.tech/,,-,0.0,n/a,0,307,0.015,0,0,0,0,0,-,0,0,1,0,0,-,-,0,0,0,-,
https://www.biosolution.tech/,Biosolution | Bioteknologi Pertanian Indonesia #1 - Pupuk Hayati & Biosecurity,100,0.030306067802807708,n/a,0,200,0.042,0,1,1,1,0,Canonical to other page,0,43,14,9,0,2,4,15,0,31,"biosolution (pt centra biotech indonesia) - perusahaan bioteknologi pertanian terdepan indonesia. spesialis pupuk hayati, insektisida hayati, biosecurity hortikultura, probiotik hewan, dan jasa maklon. melayani 19 provinsi sejak 2010. whatsapp: +62 811 ...",
https://www.biosolution.tech/about,Tentang Biosolution - Perusahaan Bioteknologi Pertanian Indonesia Sejak 2010 | Biosolution - Solusi Bioteknologi Terdepan,64,0.02140911082071769,n/a,1,200,0.374,0,1,1,1,0,Canonical to other page,0,24,9,7,0,2,4,15,0,30,"pelajari tentang biosolution (pt centra biotech indonesia) - pelopor bioteknologi pertanian indonesia. didirikan 2010, melayani 19 provinsi dengan produk pupuk hayati, insektisida hayati, dan solusi biosecurity berkualitas tinggi.",
https://www.biosolution.tech/contact,Hubungi Kami - Konsultasi & Kerjasama | Biosolution | Biosolution - Solusi Bioteknologi Terdepan,79,0.021481471379478825,n/a,1,200,0.368,0,1,1,1,0,Canonical to other page,0,24,9,9,0,2,4,15,0,31,"hubungi biosolution untuk konsultasi produk, kerjasama distribusi, jasa maklon, atau kemitraan b2b. whatsapp: +62 811 3333 3190. email: centrabioindo@gmail.com.",
https://www.biosolution.tech/en,Biosolution | Indonesia's #1 Agricultural Biotechnology - Bio-Fertilizers & Biosecurity | Biosolution - Solusi Bioteknologi Terdepan,93,0.030026377841106143,n/a,1,200,0.346,0,1,1,1,0,Canonical to other page,0,42,9,7,0,2,4,16,0,38,"biosolution (pt centra biotech indonesia) - indonesia's leading agricultural biotechnology company. specialists in bio-fertilizers, bio-insecticides, horticulture biosecurity, animal probiotics, and contract manufacturing. serving 19 provinces since 201...",
https://www.biosolution.tech/en/about,About Biosolution - Indonesia's Agricultural Biotechnology Company Since 2010 | Biosolution - Leading Biotechnology Solutions,36,0.019352561323471608,n/a,2,200,0.405,0,1,1,1,0,Canonical to other page,0,17,9,6,0,2,4,14,0,36,"learn about biosolution (pt centra biotech indonesia) - pioneer of indonesian agricultural biotechnology. founded 2010, serving 19 provinces with premium bio-fertilizers, bio-insecticides, and biosecurity solutions.",
https://www.biosolution.tech/en/contact,Contact Us - Consultation & Partnership | Biosolution | Biosolution - Leading Biotechnology Solutions,50,0.019426324050091155,n/a,2,200,0.366,0,1,1,1,0,Canonical to other page,0,17,9,8,0,2,4,14,0,37,"contact biosolution for product consultation, distribution partnership, contract manufacturing, or b2b cooperation. whatsapp: +62 811 3333 3190. email: centrabioindo@gmail.com.",
https://www.biosolution.tech/en/news,News & Articles - Agricultural Biotechnology Information | Biosolution | Biosolution - Leading Biotechnology Solutions,57,0.019605673060054875,n/a,2,200,0.35,0,1,1,1,0,Canonical to other page,0,17,19,6,0,2,4,15,0,37,"latest news, educational articles, and insights about agricultural biotechnology, farming tips, pest management, and industry trends from biosolution.",
https://www.biosolution.tech/en/news/biological-fungicide-sheath-blight-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.361,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
https://www.biosolution.tech/en/news/brown-planthopper-control-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.26,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
https://www.biosolution.tech/en/news/degraded-land-restoration-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.264,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
https://www.biosolution.tech/en/news/fall-armyworm-control-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.466,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
https://www.biosolution.tech/en/news/liquid-biofertilizer-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.259,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
https://www.biosolution.tech/en/news/microbial-symbiosis-rice-formula,News & Case Studies - Biosolution Indonesia,14,0.011503460404448431,n/a,3,200,0.26,0,1,1,1,0,Canonical to other page,0,1,9,6,0,2,4,16,0,40,read the latest case studies and articles about biotechnology formula applications in the field. success stories of indonesian farmers with organic solutions.,
